"","care_group","CH","ADC","ECH","MHH","ownership"
"1228","Kew Care Group","   5    ","       ","       ","       ","P"
"1229","Key Healthcare  Operations  Ltd","   4    ","       ","       ","       ","P"
"1230","Keychange Care","   11   ","       ","       ","       ","V"
"1231","Keys Hill Park Ltd","   2    ","       ","       ","       ","P"
"1232","Arvind Rajendra Khanna","   2    ","       ","       ","       ","P"
"1233","Mr   Mrs K Khistria","   2    ","       ","       ","       ","P"
"1234","Kher Khulpateea","   1    ","       ","   1    ","       ","P"
"1235","Kidderminster Care Ltd","   3    ","       ","       ","       ","P"
"1236","Kilmorey Care Ltd","   4    ","       ","       ","       ","P"
"1237","Kingdom Homes Ltd","   9    ","       ","       ","       ","P"
"1238","Kingly Care Partnership Ltd","   4    ","       ","       ","       ","P"
"1239","Kings Residential Care Homes Ltd","   2    ","       ","       ","       ","P"
"1240","Kingsdale Group","       ","       ","   10   ","       ","P"
"1241","Kingsley Healthcare Ltd","   26   ","       ","       ","       ","P"
"1242","Kingston upon Hull City Council","   5    ","       ","       ","       ","L"
"1243","Royal Borough of Kingston upon Thames","   2    ","       ","       ","       ","L"
"1244","Kingswood Care Services Ltd","   5    ","       ","       ","       ","P"
"1245","Francis Kirk","   1    ","       ","   1    ","       ","P"
"1246","Kirklees Metropolitan Council","   6    ","       ","       ","       ","L"
"1247","Kisimul Group Ltd","   11   ","       ","       ","       ","P"
"1248","Kismet House Care Home Ltd","   2    ","       ","       ","       ","P"
"1249","Mr   Mrs R Kitchen","   4    ","       ","       ","       ","P"
"1250","Klair House Ltd","   2    ","       ","       ","       ","P"
"1251","Knighton Manor Ltd","   2    ","       ","       ","       ","P"
"1252","Knights Care Ltd","   4    ","       ","       ","       ","P"
"1253","Knockmoyle Lodge Ltd","   5    ","       ","       ","       ","P"
"1254","Knoll Care Partnership Ltd","   2    ","       ","       ","       ","P"
"1255","Knowsley Metropolitan Borough Council","   2    ","   7    ","       ","       ","L"
"1256","Vijay Kowlessur","   2    ","       ","       ","       ","P"
"1257","Krinvest Care Group","   5    ","       ","       ","   1    ","P"
"1258","Mr   Mrs N Kritikos","   2    ","       ","       ","       ","P"
"1259","Uday Kumar and Mrs Kiranjit Juttla Kumar","   2    ","       ","       ","       ","P"
"1260","LACE Housing Association Ltd","       ","       ","   5    ","       ","V"
"1261","L D C  Dover  Ltd","   4    ","       ","       ","       ","P"
"1262","L D Care","   3    ","       ","       ","       ","P"
"1263","L H A Support Services","       ","   1    ","   1    ","       ","V"
"1264","LRH   Homes","   15   ","       ","       ","       ","P"
"1265","The Lady Verdin Trust Ltd","   3    ","       ","       ","       ","V"
"1266","Lakeland Care Group","   3    ","       ","       ","       ","P"
"1267","Lakeview Rest Homes Ltd","   4    ","       ","       ","       ","P"
"1268","Prem Lal","   2    ","       ","       ","       ","P"
"1269","Mr   Mrs G L Lamb","   2    ","       ","       ","       ","P"
"1270","Mr   Mrs R Lambert","   2    ","       ","       ","       ","P"
"1271","Lambhill Court Ltd","   5    ","       ","       ","       ","P"
"1272","Lambton House Ltd","   2    ","       ","       ","       ","P"
"1273","Lancashire County Council","   25   ","       ","       ","       ","L"
"1274","Lancaster City Council","       ","       ","   3    ","       ","L"
"1275","Mrs M Lane","   2    ","       ","       ","       ","P"
"1276","Mrs Marian W Langford","   2    ","       ","       ","       ","P"
"1277","Langland Care Ltd","   2    ","       ","       ","       ","P"
"1278","Langley House Trust","   4    ","       ","       ","       ","V"
"1279","Langston Care Ltd","   2    ","       ","       ","       ","P"
"1280","Langstone Housing Society","   2    ","       ","       ","       ","P"
"1281","Langton Care Ltd","   2    ","       ","       ","       ","P"
"1282","Lansdowne Care Services Ltd","   3    ","       ","       ","       ","P"
"1283","Lansglade Homes Ltd","   5    ","       ","       ","       ","P"
"1284","L Arche","   13   ","       ","       ","       ","V"
"1285","Larchwood Care","   59   ","       ","       ","       ","P"
"1286","Larchwood Care Northern Ireland","   7    ","       ","       ","       ","P"
"1287","Larchwood Court Ltd","   2    ","       ","       ","       ","P"
"1288","Larkfield Hall Ltd","   2    ","       ","       ","       ","V"
"1289","S R Latimer and Dr K S Kotegaonkar","   2    ","       ","       ","       ","P"
"1290","Laurel Residential Homes Ltd","   3    ","       ","       ","       ","P"
"1291","Leaders of Worship   Preachers Homes  LWPHomes","   3    ","       ","       ","       ","V"
"1292","Leading Lives Ltd","   6    ","       ","       ","       ","P"
"1293","Leafoak Ltd","   2    ","       ","       ","       ","P"
"1294","Phyllis Lee","   1    ","   1    ","       ","       ","P"
"1295","Leeds City Council","   10   ","       ","       ","       ","L"
"1296","Leeds Jewish Welfare Board","   2    ","       ","       ","       ","V"
"1297","Mr   Mrs P Lee Harris","   3    ","       ","       ","       ","P"
"1298","Leicestershire City Council","   1    ","   5    ","       ","       ","L"
"1299","Leicestershire County Care Ltd","   13   ","       ","       ","       ","P"
"1300","Leicestershire County Council","   5    ","   1    ","       ","       ","L"
"1301","Leonard Cheshire Disability","   105   ","   3    ","   12   ","       ","V"
"1302","Leong E N T Ltd","   1    ","   1    ","       ","       ","P"
"1303","Leopold Nursing Home Ltd","   2    ","       ","       ","       ","P"
"1304","Leyton Healthcare Group","   9    ","       ","       ","       ","P"
"1305","Leyton House Community Care Ltd","   3    ","       ","       ","       ","P"
"1306","Liaise Loddon Ltd","   10   ","       ","       ","       ","P"
"1307","Libatis Ltd","   2    ","       ","       ","       ","P"
"1308","Life Opportunities Trust","   8    ","       ","       ","       ","V"
"1309","LifeCare Residences Ltd","   1    ","       ","   3    ","       ","P"
"1310","Lifeline Nursing Services Ltd","   3    ","       ","   2    ","       ","P"
"1311","Lifestyle  Abbey Care  Ltd","   3    ","       ","       ","       ","P"
"1312","Lifestyle Care in Partnership with Orchard Care Homes","   22   ","       ","       ","       ","P"
"1313","Lifestyle Care plc","   5    ","       ","       ","       ","P"
"1314","Lifeways Community Care","   23   ","       ","       ","       ","P"
"1315","Lifeways Inclusive Lifestyles Ltd","   5    ","       ","       ","       ","P"
"1316","Lifeways Orchard Care Ltd","   3    ","       ","       ","       ","P"
"1317","Lifeways Rose Care and Support Ltd","   2    ","       ","       ","       ","P"
"1318","Lighthouse Healthcare","   5    ","       ","       ","   7    ","P"
"1319","Lilena   Pentree Lodge Care Homes Ltd","   2    ","       ","       ","       ","P"
"1320","Lilian Faithfull Homes","   4    ","       ","       ","       ","V"
"1321","Lillibet Care Ltd","   2    ","       ","       ","       ","P"
"1322","Lillibet Court Ltd","   2    ","       ","       ","       ","P"
"1323","Lily Care Ltd","   2    ","       ","       ","       ","P"
"1324","Lime Lodge Care Ltd","   2    ","       ","       ","       ","P"
"1325","Lime Trees Care Group","   3    ","       ","       ","       ","P"
"1326","Linc Cymru Housing Association Ltd","   2    ","       ","   7    ","       ","V"
"1327","Lindemann Healthcare","   3    ","       ","       ","       ","P"
"1328","Linden Care Homes Ltd","   2    ","       ","       ","       ","P"
"1329","Linkage Community Trust","   18   ","       ","       ","       ","V"
"1330","Lisieux Trust","   2    ","       ","       ","       ","V"
"1331","Mrs E Lisk","   2    ","       ","       ","       ","P"
"1332","Lister House Ltd","   2    ","       ","       ","       ","P"
"1333","Little Sisters of the Poor","   12   ","       ","       ","       ","V"
"1334","Littlehampton and Rustington Housing Society","   1    ","       ","   1    ","       ","V"
"1335","Littleinch Ltd","   2    ","   1    ","       ","       ","P"
"1336","Littleton Holdings Ltd","   2    ","       ","       ","       ","P"
"1337","Livability","   25   ","       ","   1    ","       ","V"
"1338","Liverpool City Council","   4    ","       ","       ","       ","L"
"1339","Living Ambitions Services","   15   ","       ","   1    ","       ","P"
"1340","Living Developments Ltd","   3    ","       ","       ","       ","P"
"1341","Livlife  UK  Ltd","   2    ","       ","       ","       ","P"
"1342","Llysywaun Ltd","   2    ","       ","       ","       ","P"
"1343","Logini Care Solutions Ltd","   2    ","       ","       ","       ","P"
"1344","Lomack Health Co Ltd","   2    ","       ","       ","       ","P"
"1345","Londesborough Court Ltd","   2    ","       ","       ","       ","P"
"1346","London Borough of Lambeth Council","       ","   6    ","       ","       ","L"
"1347","London Borough of Lewisham","       ","   7    ","   2    ","       ","L"
"1348","London Borough of Redbridge Council","       ","   4    ","   1    ","       ","L"
"1349","London Borough of Wandsworth","       ","   4    ","       ","       ","L"
"1350","London Care Partnership Ltd","   7    ","       ","       ","       ","P"
"1351","London   Manchester Healthcare Ltd","   3    ","       ","       ","       ","P"
"1352","Longfield  Care Homes  Ltd","   2    ","       ","       ","       ","P"
"1353","Longhurst   Havelok Homes","   2    ","       ","   1    ","       ","V"
"1354","Look Ahead Care   Support Ltd","   7    ","       ","       ","       ","V"
"1355","Loretto Care","   3    ","       ","       ","       ","V"
"1356","Lotus Care Holdings Ltd","   2    ","       ","       ","       ","P"
"1357","Loughview Homes Ltd","   2    ","       ","       ","       ","P"
"1358","Lovett Care Ltd","   2    ","       ","       ","       ","P"
"1359","Loving Care Ltd","   2    ","       ","       ","       ","P"
"1360","Lower Green Ltd","   2    ","       ","       ","       ","P"
"1361","Ludlow Street Healthcare","       ","       ","       ","   3    ","P"
"1362","Lukka Care Homes","   4    ","       ","       ","       ","P"
"1363","Luton Borough Council","   1    ","   6    ","   2    ","       ","L"
"1364","LuxuryCare Ltd","   3    ","       ","       ","       ","P"
"1365","Lyndale  Hereford  Ltd","   2    ","       ","       ","       ","P"
"1366","Lyndhurst Ltd","   2    ","       ","       ","       ","P"
"1367","Lyndridge Care","       ","   1    ","   1    ","       ","P"
"1368","Christine Lyte","   2    ","       ","       ","       ","P"
"1369","Adrian Lyttle","   2    ","       ","       ","       ","P"
"1370","M   C Taylforth Properties Ltd","   2    ","       ","       ","       ","P"
"1371","MAPS Properties Ltd","   3    ","       ","       ","       ","P"
"1372","MBi Social Care Ltd","   4    ","       ","       ","       ","P"
"1373","M C C H Society Ltd   Head Office","   27   ","       ","   1    ","       ","V"
"1374","M   D Care Ltd","   5    ","       ","       ","       ","P"
"1375","M D Homes","   5    ","       ","       ","       ","P"
"1376","M G B Care Services Ltd","   6    ","       ","       ","       ","P"
"1377","MG Homes","   2    ","       ","       ","       ","P"
"1378","M G L Healthcare Ltd","   2    ","       ","       ","       ","P"
"1379","MHA  Methodist Homes","   84   ","   1    ","   59   ","       ","V"
"1380","M H C","   18   ","       ","       ","   4    ","P"
"1381","MIG House Residential Care Homes","   3    ","       ","       ","       ","P"
"1382","M   J Care Homes Ltd","   2    ","       ","       ","       ","P"
"1383","M N P Complete Care Group","   4    ","       ","       ","       ","P"
"1384","M N S Care plc","   4    ","       ","       ","       ","P"
"1385","MPS Care Group","   14   ","       ","       ","       ","P"
"1386","MACC Care Ltd","   5    ","       ","       ","       ","P"
"1387","Michael McDonagh","   2    ","       ","       ","       ","P"
"1388","Mr   Mrs M Macdonald","   2    ","       ","   1    ","       ","P"
"1389","Navlette Ommouy McFarlane","   3    ","       ","       ","       ","P"
"1390","McGoldrick Enterprises Ltd","   2    ","       ","       ","       ","P"
"1391","MacIntyre Care","   34   ","       ","       ","       ","V"
"1392","McKenzie Care Homes Ltd","   7    ","       ","       ","       ","P"
"1393","Mr   Mrs B Macklin","   2    ","       ","       ","       ","P"
"1394","McLaren House Ltd","   3    ","       ","       ","       ","P"
"1395","Arthur McLean","   2    ","       ","       ","       ","P"
"1396","MacLeod Pinsent Care Homes Ltd","   5    ","       ","       ","       ","P"
"1397","Mark McWilliam","   2    ","       ","       ","       ","P"
"1398","Madog Nursing Home Ltd","   2    ","       ","       ","       ","P"
"1399","Magicare Ltd","   2    ","       ","       ","       ","P"
"1400","Magna Care Group Ltd","   4    ","       ","       ","       ","P"
"1401","Magna West Somerset Housing Association","       ","       ","   2    ","       ","P"
"1402","Magnum Care Ltd","   2    ","       ","       ","       ","P"
"1403","Arshad Mahmood","   2    ","       ","       ","       ","P"
"1404","Mainstay DRP","   4    ","       ","       ","       ","V"
"1405","Maison Care","   4    ","       ","       ","       ","P"
"1406","Maison Moti Ltd","   2    ","       ","       ","       ","P"
"1407","Majesticare","   7    ","       ","       ","       ","P"
"1408","Make All Ltd","   3    ","       ","       ","       ","P"
"1409","Making Space","   13   ","   2    ","       ","   1    ","V"
"1410","Malone Healthcare Ltd","   2    ","       ","       ","       ","P"
"1411","Malvern View  Lydiate  Ltd","   2    ","       ","       ","       ","P"
"1412","Manchester City Council","   3    ","       ","       ","       ","L"
"1413","Mancroft Healthcare Ltd","   2    ","       ","       ","       ","P"
"1414","Mandeville Care Services Ltd","   3    ","       ","       ","       ","P"
"1415","K S Mann","   2    ","       ","       ","       ","P"
"1416","Mannacom Ltd","   2    ","       ","       ","       ","P"
"1417","Manor Care Home Group","   5    ","       ","       ","       ","P"
"1418","Manor Care Home Ltd","   3    ","       ","       ","       ","P"
"1419","Manor Care Homes Ltd","   2    ","       ","       ","       ","P"
"1420","Manor Court Health Care Ltd","   1    ","       ","   1    ","       ","P"
"1421","Manor Healthcare Ltd","   3    ","       ","       ","       ","P"
"1422","The Manor House  Halifax  Ltd","   2    ","       ","       ","       ","P"
"1423","The Manor House St Hilary Ltd","   2    ","       ","       ","       ","P"
"1424","Mr   Mrs J R Mansell","   2    ","       ","       ","       ","P"
"1425","Mansfield Care Ltd","   7    ","       ","       ","       ","P"
"1426","Manucourt Ltd","   2    ","       ","       ","       ","P"
"1427","Maple Health UK Ltd","   5    ","       ","       ","       ","P"
"1428","The Maples Residential Care Home Ltd","   2    ","       ","       ","       ","P"
"1429","Marantomark Ltd","   3    ","       ","       ","       ","P"
"1430","Marchmont Homes Ltd","   2    ","       ","       ","       ","P"
"1431","Marcus Care Homes Ltd","   3    ","       ","       ","       ","P"
"1432","Maria Mallaband Care Group Ltd","   36   ","       ","       ","       ","P"
"1433","Maricare Ltd","   3    ","       ","       ","       ","P"
"1434","S Marjara","   3    ","       ","       ","       ","P"
"1435","Marran Ltd","   4    ","       ","       ","       ","P"
"1436","Marsden Healthcare Ltd","   2    ","       ","       ","       ","P"
"1437","Marshview","   2    ","       ","       ","       ","P"
"1438","Martha Trust","   2    ","   1    ","       ","       ","V"
"1439","Martha Trust Hereford Ltd","   2    ","       ","       ","       ","V"
"1440","Mrs Flora Rufus Mason","   2    ","       ","       ","       ","P"
"1441","Master Palm Properties Ltd","   4    ","       ","       ","       ","P"
"1442","Mrs D Matadeen","   2    ","       ","       ","       ","P"
"1443","Mrs Marie Mather Franks","   3    ","       ","       ","       ","P"
"1444","Mr   Mrs J Matheron","   2    ","       ","       ","       ","P"
"1445","Matthew Residential Care Ltd","   2    ","       ","       ","       ","P"
"1446","Mr   Mrs J Matthews","   2    ","       ","       ","       ","P"
"1447","Mauricare Ltd","   11   ","       ","       ","       ","P"
"1448","Mrs Munira Mawji","   2    ","       ","       ","       ","P"
"1449","Max Potential UK Ltd","   2    ","       ","       ","       ","P"
"1450","Mayflower Care Homes Ltd","   2    ","       ","       ","       ","P"
"1451","Mayhaven Healthcare Ltd","   2    ","       ","       ","       ","P"
"1452","Mead Medical Services Ltd","   6    ","       ","       ","       ","P"
"1453","Meadows Care Neath Ltd","   2    ","       ","       ","       ","P"
"1454","Meadowview Care Ltd","   6    ","       ","       ","       ","P"
"1455","Meallmore Ltd","   21   ","       ","       ","       ","P"
"1456","Mears Care Ltd","       ","       ","   9    ","       ","P"
"1457","Medicrest Ltd","   3    ","       ","       ","       ","P"
"1458","Medway Council","   1    ","   4    ","       ","       ","L"
"1459","The Melanie Ann Trust","   2    ","       ","       ","       ","V"
"1460","Melba Lodge Ltd","   2    ","       ","       ","       ","P"
"1461","Melin Homes","       ","       ","   2    ","       ","P"
"1462","Mellandene Ltd","   2    ","       ","       ","       ","P"
"1463","Mencap","   105   ","       ","   11   ","       ","V"
"1464","Mencap in Kirklees","   3    ","       ","       ","       ","V"
"1465","Mental Health Concern","   7    ","       ","       ","       ","V"
"1466","Mentaur Ltd","   10   ","   1    ","       ","       ","P"
"1467","Meridian Healthcare Ltd","   31   ","       ","       ","       ","P"
"1468","Mersey Care NHS Trust","   3    ","       ","       ","       ","N"
"1469","Merthyr Tydfil County Borough Council","   5    ","       ","       ","       ","L"
"1470","London Borough of Merton","   2    ","   4    ","       ","       ","L"
"1471","Methodist Home for the Aged Jersey","   2    ","       ","       ","       ","V"
"1472","Metropolitan","       ","       ","   2    ","       ","P"
"1473","Metropolitan Housing Trust Ltd","   13   ","       ","   6    ","       ","V"
"1474","Michael Batt Foundation","   2    ","       ","       ","       ","P"
"1475","Michael C S Kainth","   2    ","       ","       ","       ","P"
"1476","Michael Yoakley s Charity","   1    ","       ","   1    ","       ","V"
"1477","Middlesbrough Borough Council","   2    ","       ","       ","       ","L"
"1478","Middleton Hall Ltd","   1    ","       ","   1    ","       ","P"
"1479","Middleway Care Ltd","   2    ","       ","       ","       ","P"
"1480","Midland Healthcare Ltd","   4    ","       ","       ","       ","P"
"1481","Midland Heart Ltd","   15   ","       ","   9    ","       ","V"
"1482","Midlands Care","   4    ","   3    ","       ","       ","P"
"1483","Midlothian Council","   2    ","       ","       ","       ","L"
"1484","Midshires Healthcare Ltd","   2    ","       ","       ","       ","P"
"1485","Midway Care Ltd","   4    ","       ","       ","       ","P"
"1486","Milestones Trust","   41   ","       ","   3    ","       ","V"
"1487","Milewood Healthcare Ltd","   12   ","       ","       ","       ","P"
"1488","Milford Care","   6    ","       ","   1    ","       ","P"
"1489","Milford Lodge LLP","   2    ","       ","       ","       ","P"
"1490","Milkwood Care Ltd","   6    ","       ","       ","       ","P"
"1491","Millbrook House  Dorset  Ltd","   1    ","       ","   1    ","       ","P"
"1492","Millcroft   York Lodge Care Homes Ltd","   2    ","       ","       ","       ","P"
"1493","Millennium Care Group","   6    ","       ","       ","       ","P"
"1494","Millennium Care Ltd","   2    ","       ","       ","       ","P"
"1495","Millennium Care Services Ltd","   8    ","       ","       ","       ","P"
"1496","Millfield James Ltd","   2    ","       ","       ","       ","P"
"1497","Mills Family Ltd","   2    ","       ","       ","       ","P"
"1498","Mr   Mrs R S B Mills","   2    ","       ","       ","       ","P"
"1499","Millsted Care Ltd","   2    ","       ","       ","       ","P"
"1500","Milton Keynes Council","   2    ","       ","   3    ","       ","L"
"1501","Minchinhampton Centre for the Elderly","   1    ","   1    ","       ","       ","V"
"1502","Minehome Ltd","   2    ","       ","       ","       ","P"
"1503","Minster Care Group","   36   ","       ","       ","       ","P"
"1504","Mission Care","   5    ","       ","       ","       ","V"
"1505","David J Mitchell","   2    ","   2    ","       ","       ","P"
"1506","Mitchell s Care Homes Ltd","   5    ","       ","       ","       ","P"
"1507","Modus Care Ltd","   8    ","       ","       ","       ","P"
"1508","Modus Care  Plymouth  Ltd","   4    ","       ","       ","       ","P"
"1509","Cass Mohamedally","   1    ","   1    ","       ","       ","P"
"1510","Molescroft Nursing Home  Holdings  Ltd","   2    ","       ","       ","       ","P"
"1511","Monarch Healthcare Ltd","   11   ","       ","       ","       ","P"
"1512","Monmouthshire County Council","   3    ","       ","       ","       ","L"
"1513","Monpekson Care Ltd","   3    ","       ","       ","       ","P"
"1514","Moorcroft Care Homes Ltd","   4    ","       ","       ","       ","P"
"1515","Moore Care  Registered  Ltd","   3    ","       ","       ","       ","P"
"1516","Moorville Developments Ltd","   3    ","       ","       ","       ","P"
"1517","The Moray Council","   3    ","   4    ","       ","       ","L"
"1518","Morecare Ltd","   2    ","       ","       ","       ","P"
"1519","Morleigh Ltd","   6    ","       ","       ","       ","P"
"1520","Morris Care Ltd","   6    ","       ","       ","       ","P"
"1521","The Mortimer Society","   2    ","       ","       ","       ","V"
"1522","Mosaic Community Care Ltd","   2    ","       ","       ","       ","P"
"1523","Moundsley Hall Ltd","   5    ","       ","       ","       ","P"
"1524","Mountain Ash Care Group","   2    ","       ","       ","       ","P"
"1525","Wendy Moxam","   1    ","   1    ","       ","       ","P"
"1526","Mr   Mrs Sanjay P Ramdany","   2    ","       ","       ","       ","P"
"1527","Mulberry Care Ltd","   3    ","       ","       ","       ","P"
"1528","The Mungo Foundation","   13   ","       ","   1    ","       ","V"
"1529","Raymond Murphy","   2    ","       ","       ","       ","P"
"1530","Valerie Murray and Cheryl Peel","   2    ","       ","       ","       ","P"
"1531","My Care","   12   ","       ","       ","       ","P"
"1532","MyLife  North  Ltd","   1    ","       ","   1    ","       ","P"
"1533","MyMil Ltd","   2    ","       ","       ","       ","P"
"1534","N A B S","   1    ","   1    ","   1    ","       ","V"
"1535","NA SS Care Ltd","   2    ","       ","       ","       ","P"
"1536","NHS Highland","   17   ","       ","       ","       ","N"
"1537","N Notaro Homes Ltd","   10   ","       ","       ","       ","P"
"1538","NORSACA","   5    ","       ","       ","       ","V"
"1539","Mr   Mrs Rajesh Nair","   2    ","       ","       ","       ","P"
"1540","S Nathoo","   2    ","       ","       ","       ","P"
"1541","The National Autistic Society","   37   ","       ","       ","       ","V"
"1542","National Star Foundation","   4    ","       ","       ","       ","V"
"1543","Nationwide Community Care Ltd","   3    ","       ","       ","       ","P"
"1544","Mr   Mrs Narendra Nauth","   2    ","       ","       ","       ","P"
"1545","Sushma Nayar and Vipin Parkash Nayer","   3    ","       ","       ","       ","P"
"1546","Nazareth Care Charitable Trust","   14   ","       ","   2    ","       ","V"
"1547","Mr   Mrs S Neale","   2    ","       ","       ","       ","P"
"1548","Neath Port Talbot County Borough Council","   1    ","   4    ","       ","       ","L"
"1549","Mr   Mrs C Neil Smith","   2    ","       ","       ","       ","P"
"1550","Nellsar Care Homes","   13   ","       ","       ","       ","P"
"1551","Nestlings Care Ltd","   2    ","       ","       ","       ","P"
"1552","Network Stadium Housing Association","       ","       ","   3    ","       ","V"
"1553","New Beginnings Ltd","   3    ","       ","       ","       ","P"
"1554","New Boundaries Group","   9    ","       ","       ","       ","P"
"1555","New Bridges Residential Care","   3    ","       ","       ","       ","P"
"1556","New Century Care","   26   ","       ","       ","       ","P"
"1557","New Directions  Rugby  Ltd","   4    ","       ","       ","       ","V"
"1558","New Forest District Council","       ","       ","   4    ","       ","L"
"1559","New Generation Care Ltd","   3    ","       ","       ","       ","P"
"1560","New Life Care Services Ltd","   3    ","       ","       ","       ","P"
"1561","New Outlook Housing Association Ltd","   4    ","       ","   1    ","       ","V"
"1562","New Servol","   3    ","       ","       ","       ","V"
"1563","Newark Care","   2    ","       ","       ","       ","V"
"1564","Newbloom Healthcare","   6    ","       ","       ","       ","P"
"1565","Newcastle upon  Tyne City Council","   3    ","   2    ","       ","       ","L"
"1566","Newham Council","       ","   2    ","       ","       ","L"
"1567","Newhaven","   2    ","       ","       ","       ","P"
"1568","Susan Newman","   3    ","       ","       ","       ","P"
"1569","Newport City Council","   5    ","       ","       ","       ","L"
"1570","Newton Chinneck Ltd","   3    ","       ","       ","       ","P"
"1571","Nexus Programme Ltd","   4    ","       ","       ","       ","P"
"1572","Nicholas James Care Homes Ltd","   11   ","       ","       ","       ","P"
"1573","Mr   Mrs J J Nicholson","   2    ","       ","       ","       ","P"
"1574","Ian Nicoll","   3    ","       ","       ","       ","P"
"1575","Nifinara Ltd","   2    ","       ","       ","       ","P"
"1576","Nightingale Care Homes","   3    ","       ","       ","       ","P"
"1577","Nightingale Hammerson","   2    ","       ","       ","       ","V"
"1578","Nightingale Retirement Care Ltd","   2    ","       ","       ","       ","P"
"1579","Nightingales Care Ltd","   2    ","       ","       ","       ","P"
"1580","Nisacraft Ltd","   2    ","       ","       ","       ","P"
"1581","Noble Care Ltd","   4    ","       ","       ","       ","P"
"1582","Norens Ltd","   2    ","       ","       ","       ","P"
"1583","Norfolk Community Health   Care NHS Trust","   3    ","       ","       ","       ","N"
"1584","Normanhurst","   3    ","       ","       ","       ","P"
"1585","Norse Care  Services  Ltd","   20   ","       ","   15   ","       ","P"
"1586","North Ayrshire Council","   2    ","       ","       ","       ","L"
"1587","North Care Scotland Ltd","   3    ","       ","       ","       ","P"
"1588","North East Autism Society","   13   ","       ","       ","       ","V"
"1589","North East Care Homes Ltd","   4    ","       ","       ","       ","P"
"1590","North Lanarkshire Council","   4    ","   2    ","   1    ","       ","L"
"1591","North Tyneside Council","   1    ","   1    ","   2    ","       ","L"
"1592","North West Community Services  Merseyside  Ltd","   4    ","       ","       ","       ","P"
"1593","North Yorkshire County Council","   18   ","       ","       ","       ","L"
"1594","Northern Care Homes Ltd","   1    ","       ","   1    ","       ","P"
"1595","Northern Health and Social Care Trust","   10   ","   10   ","       ","       ","N"
"1596","Northgate Healthcare Ltd","   3    ","       ","       ","       ","P"
"1597","Northover Group","   3    ","       ","       ","       ","P"
"1598","Northumberland County Council","   2    ","   7    ","       ","       ","L"
"1599","Notting Hill Sales","       ","       ","   7    ","       ","V"
"1600","Nottingham City Council","   3    ","   5    ","       ","       ","L"
"1601","Nottingham Community Housing Association Ltd","   8    ","   1    ","   2    ","       ","V"
"1602","Nottinghamshire County Council","   9    ","       ","       ","       ","L"
"1603","Nouvita Psycare","   7    ","       ","       ","   1    ","P"
"1604","Nugent Care","   5    ","       ","       ","       ","V"
"1605","Numada Health Care Ltd","   4    ","       ","       ","       ","P"
"1606","Gordon Nuttall","   2    ","       ","       ","       ","P"
"1607","O S W L","   4    ","       ","       ","       ","P"
"1608","Oak Care Ltd","   2    ","       ","       ","       ","P"
"1609","Oak House Homecare Ltd","   2    ","       ","       ","       ","P"
"1610","Oakdown House Ltd","   2    ","       ","       ","       ","P"
"1611","Oakland Primecare","   2    ","       ","       ","       ","P"
"1612","The Oaklea Trust","   4    ","       ","       ","       ","V"
"1613","Oakleaf Care  Hartwell  Ltd","   7    ","       ","       ","       ","P"
"1614","OakRay Care Ltd","   2    ","       ","       ","       ","P"
"1615","The Oaks Residential Care Home","   2    ","       ","       ","       ","P"
"1616","Oakview Care","   3    ","       ","       ","       ","P"
"1617","Ocean Community Services Ltd","   13   ","       ","       ","       ","P"
"1618","Eileen O Connor Marsh","   2    ","       ","       ","       ","P"
"1619","Octavia Housing   Care","       ","       ","   4    ","       ","P"
"1620","Monica Odedra","   3    ","       ","       ","       ","P"
"1621","Mr   Mrs R Odedra","   3    ","       ","       ","       ","P"
"1622","Vijay Odedra and Partners","   3    ","       ","       ","       ","P"
"1623","Mrs M Officer and C Vaz","   2    ","       ","       ","       ","P"
"1624","Mr   Mrs B Ogbakaeko","   2    ","       ","       ","       ","P"
"1625","Ogwell Grange Ltd","   3    ","       ","   3    ","       ","P"
"1626","Philomena C Okoron Kwo","   1    ","       ","   1    ","       ","P"
"1627","Oldercare Group of Companies","   1    ","       ","       ","   1    ","P"
"1628","Oldfield Manor Ltd","   3    ","       ","       ","       ","P"
"1629","Oldfield Residential Care Ltd","   6    ","       ","       ","       ","P"
"1630","Oldham Care and Support Ltd","   3    ","       ","       ","       ","P"
"1631","Oldham Metropolitan Borough Council","       ","   3    ","       ","       ","L"
"1632","Olympus Care Services","   8    ","   1    ","   2    ","       ","P"
"1633","Omega Elifar Ltd","   5    ","       ","       ","       ","P"
"1634","Fola Omotosho","   2    ","       ","       ","       ","P"
"1635","One Housing Group","   3    ","       ","   1    ","       ","V"
"1636","Only Care Ltd","   2    ","       ","       ","       ","P"
"1637","Mr   Mrs B Oozageer","   2    ","       ","       ","       ","P"
"1638","Opportunity Housing Trust Ltd","   2    ","       ","       ","       ","P"
"1639","Optalis Ltd","   1    ","       ","   3    ","       ","V"
"1640","Optima Care Ltd","   8    ","       ","       ","       ","P"
"1641","Optima Care Partnership","   2    ","       ","       ","       ","P"
"1642","Optimal Living Ltd","   3    ","       ","       ","       ","P"
"1643","Optimum Care  UK  Ltd","   3    ","   1    ","       ","       ","P"
"1644","Options for Care Ltd","   1    ","       ","       ","   1    ","P"
"1645","Options Group","   9    ","       ","       ","       ","P"
"1646","Opus Care Ltd","   2    ","       ","       ","       ","P"
"1647","Orchard Care","   1    ","       ","   1    ","       ","P"
